"Sum$dimnames$Terms" "Sum$v"
"23057" "the" 176096
"856" "and" 95308
"25789" "you" 51066
"9006" "for" 46580
"23046" "that" 43311
"25438" "with" 28725
"23150" "this" 25878
"24992" "was" 24909
"10476" "have" 23908
"1165" "are" 21678
"3170" "but" 20349
"15567" "not" 18179
"25801" "your" 16360
"627" "all" 16338
"12490" "just" 15199
"9271" "from" 14606
"12153" "its" 14595
"25200" "what" 13649
"16117" "out" 13624
"13279" "like" 13440
"23109" "they" 13098
"15887" "one" 12774
"25358" "will" 12735
"53" "about" 12673
"3331" "can" 11669
"25218" "when" 11491
"9617" "get" 11118
"23305" "time" 9940
"14847" "more" 9711
"10799" "his" 9642
"23093" "there" 9604
"21319" "some" 9273
"13597" "love" 9213
"10223" "had" 9206
"16113" "our" 9163
"9815" "good" 8988
"6868" "dont" 8869
"10439" "has" 8863
"25280" "who" 8807
"11085" "how" 8791
"15614" "now" 8770
"10660" "her" 8680
"5871" "day" 8496
"25584" "would" 8384
"12747" "know" 8374
"25171" "were" 8373
"20532" "she" 7738
"15346" "new" 7633
"23068" "their" 7617
"2034" "been" 7604
"23070" "them" 7293
"20215" "see" 6949
"16738" "people" 6689
"1674" "back" 6645
"9994" "great" 6511
"23132" "think" 6232
"13798" "make" 6117
"25151" "well" 5965
"23040" "thanks" 5827
"9794" "going" 5810
"23383" "today" 5808
"14985" "much" 5774
"23449" "too" 5736
"18506" "really" 5703
"23078" "then" 5687
"15911" "only" 5660
"23033" "than" 5289
"11961" "into" 5273
"25235" "which" 5260
"9860" "got" 5226
"8715" "first" 5203
"25051" "way" 5175
"24945" "want" 5157
"16183" "over" 5133
"2010" "because" 5131
"15258" "need" 4899
"19371" "right" 4897
"6422" "did" 4861
"7927" "even" 4858
"10668" "here" 4857
"25539" "work" 4851
"16101" "other" 4844
"10771" "him" 4713
"703" "also" 4691
"12929" "last" 4678
"3377" "cant" 4615
"21956" "still" 4613
"5235" "could" 4534
"446" "after" 4516
"19767" "said" 4489
"13248" "life" 4453
"24638" "very" 4416
"15796" "off" 4356
"1003" "any" 4125
"13494" "lol" 4112
"4511" "come" 4065
"20674" "should" 4043
"15340" "never" 4041
"25224" "where" 4018
"25306" "why" 3996
